"","Var1","Freq"
"1","abandoned",5
"2","acquitted",1
"3","cleared",13
"4","condemned",129
"5","crew driven away",1
"6","none",9
"7","partially condemned",1
"8","plundered",7
"9","ransomed",1
"10","released",3
"11","sequestered",1
"12","uncertain",100
